name,popularity
Bharwa Parwal Sabzi Recipe -Stuffed Pointed Gourd Dry Vegetable,700
Senai Kizhangu Poriyal Recipe-Yam Poriyal Recipe,700
Sukhi Urad Dal Sabzi Recipe,700
मटर पुलाव रेसिपी - Peas Pulao Recipe,700
कढ़ाई छोले रेसिपी - Kadai Chole Recipe,700
Kesar Peda Recipe,700
Baklava Rolls Recipe - Turkish Sweet Rolls,700
Ghee Roast Dosa Recipe - Crispy Paper Dosa Recipe,700
Maharashtrian Kulith Shengole Recipe - Spicy Horse Gram Flour Dumplings,"[<span id=""recipenumvotes"">5198 ratings.</span>]"
Ragi Idli Recipe - Learn How To Make A Healthy Ragi Idli,700
Red Capsicum Chutney Recipe - Red Bell Pepper Chutney,700
Date and Tamarind Chutney Recipe - Khajur Imli Chutney,"[<span id=""recipenumvotes"">32386 ratings.</span>]"
मटर की तेहरी रेसिपी - Matar Ki Tehri Recipe,700
Mushroom Methi Brown Rice Recipe,"[<span id=""recipenumvotes"">1557 ratings.</span>]"
Jeera Rice Recipe - Cumin And Ghee Flavored Rice,700
Dal Fry Recipe,"[<span id=""recipenumvotes"">2940 ratings.</span>]"
Aloo Gajar Matar Sabzi Recipe,"[<span id=""recipenumvotes"">5420 ratings.</span>]"
Whole Masala Gobhi Recipe - Spiced Whole Roasted Cauliflower Masala,700
पापड़ एर डालना रेसिपी - Bengali Papad Curry Recipe,700
Lehsun ki Chutney - Spicy Garlic Chutney,700
Mushroom Corn Masala Dosa Recipe Using Ragi Idli Dosa Batter,700
Peanut Chutney Podi Recipe,700
Kanchipuram Masala Dosa Recipe With Soya Dosa Batter,700
Avocado Raita Recipe,700
Kuruku Kaalan Recipe - Raw Bananas in Coconut Curry,700
Chai Ka Masala Recipe - Homemade Spice Powder for Tea,"[<span id=""recipenumvotes"">3118 ratings.</span>]"
Oats Mor Kali Recipe - Oats & Buttermilk Breakfast Porridge,700
Vendakkai Puli Kuzhambu,700
Bengali Style Pomfret Shorshe Recipe - Pomfret In Mustard Gravy,700
Andhra Style Chama Dumpa Pulusu Recipe - Arbi With Sesame Tamarind Sauce Recipe,700
Kobbari Charu Recipe - Coconut Milk & Dal Sambar Recipe,700
Sadya Parippu Recipe - Kerala Style Lentils,700
Papad er Dalna Recipe - Bengali Papad Curry,700
Pori Urundai Recipe - Healthy Puffed Rice Balls With Jaggery,700
Menthya Matvadi Palya Recipe - Madhwa Brahmin Style Methi-Chana Dal Sabzi,700
Lasun Batata Poori Recipe - Spiced Coriander Fried Bread Recipe,700
Kaju Pista Roll Recipe - Cashew Nut Pistachio Fudge,"[<span id=""recipenumvotes"">3829 ratings.</span>]"
Mooli Palak Sabji Recipe - Radish Spinach Sabzi,700
Raw Banana Thoran Recipe,"[<span id=""recipenumvotes"">5925 ratings.</span>]"
Kerala Style Vendakka Uppadan Recipe,700
Iyengar Vendakkai Mor kuzhambu Recipe,700
Atte Ka Halwa Recipe - Whole Wheat Flour Halwa with Khoya,"[<span id=""recipenumvotes"">1306 ratings.</span>]"
Mizoram Style Hmarcha Rawt - Roasted Green Chilli Chutney,"[<span id=""recipenumvotes"">1534 ratings.</span>]"
Oriya Special Dalma Recipe - Lentils Cooked With Vegetables & Raw Papaya,"[<span id=""recipenumvotes"">21220 ratings.</span>]"
केला बेसनी सब्ज़ी विधि रेसिपी - Kela Besani Sabzi Recipe,700
मैंगलोर फिश करी रेसिपी - Mangalore Fish Curry Recipe,700
Maharashtrian Kanda Poha Recipe,700
Cabbage Pachadi Recipe,"[<span id=""recipenumvotes"">9769 ratings.</span>]"
Chow Chow and Carrot Kootu Recipe,"[<span id=""recipenumvotes"">2531 ratings.</span>]"
Spicy Coconut Peanut Stuffed Baby Brinjal Recipe,"[<span id=""recipenumvotes"">4185 ratings.</span>]"
Brinjal Capsicum Sabji Recipe,"[<span id=""recipenumvotes"">6276 ratings.</span>]"
Spicy Matar Masala Recipe,"[<span id=""recipenumvotes"">552 ratings.</span>]"
Jain Style Corn Palak Recipe,"[<span id=""recipenumvotes"">3926 ratings.</span>]"
Potato Stuffed Dal Dhokli Recipe,"[<span id=""recipenumvotes"">1114 ratings.</span>]"
Authentic Godumai Dosai Recipe - Whole Wheat Flour Crepes,700
Arunachal Pradesh Zan Recipe - Finger Millet Porridge with Vegetables Recipe,"[<span id=""recipenumvotes"">2675 ratings.</span>]"
Besan Katli Ki Sabzi Recipe,"[<span id=""recipenumvotes"">1447 ratings.</span>]"
Beetroot Carrot Halwa Recipe,700
Papaya and Carrot Halwa Recipe,"[<span id=""recipenumvotes"">1441 ratings.</span>]"
Kerala Style Prawns & Shrimp Biryani  -Chemmeen Biryani Recipe,"[<span id=""recipenumvotes"">5791 ratings.</span>]"
Ellu Sadam Recipe - Sesame Rice,"[<span id=""recipenumvotes"">1361 ratings.</span>]"
Spicy Aloo Naan Recipe,"[<span id=""recipenumvotes"">6912 ratings.</span>]"
Saunf Wale Aloo Baingan Recipe - Fennel Spiced Potato And Eggplant,"[<span id=""recipenumvotes"">1447 ratings.</span>]"
Vegetable Biryani Recipe With Chatpata Aloo,"[<span id=""recipenumvotes"">1554 ratings.</span>]"
Matar Ki Tehri Recipe - Fragrant rice cooked with spices and fresh peas,700
Kaju Katli Recipe (Kaju Barfi),700
Kharbyaali Masale Khara Recipe - North Karnataka Sambar Powder,700
Aloo Subz Dum Biryani Recipe,700
Bengali Holud Mishti Pulao Recipe - Saffron Flavored Rice With Nuts,700
Maharashtrian Karanji Recipe (Gujiya) - A Delicious Diwali Sweet,700
South Indian One Pot Sambar Rice Recipe,"[<span id=""recipenumvotes"">19957 ratings.</span>]"
Makhane Ki Phirni Recipe - Lotus Seed Milk Pudding,700
Kumbakonam Kadappa Recipe - South Indian Style Lentil and Potato Stew,"[<span id=""recipenumvotes"">6802 ratings.</span>]"
Kanda Kairichi Chutney Recipe - Onion & Raw Mango Chutney,700
Indian Style Kala Chana Salad Recipe,700
Mango Payasam Recipe-Mambazha Payasam - Onam Special,700
Gajar Amla Raita Recipe - Carrot Gooseberry Raita Recipe,700
Mango Kesari Recipe | Mango Sooji Halwa | Mango Sheera,700
Spicy Dalia Pulao Recipe - Broken Wheat Pulao,700
Egg Biryani Recipe With Coconut Milk,700
Hurali Saaru Recipe - Healthy Horse Gram and Coconut Curry,"[<span id=""recipenumvotes"">10404 ratings.</span>]"
मसूर दाल गस्सि रेसिपी - Masoor Dal Gassi Recipe,700
केरला स्टाइल उल्ली थियल रेसिपी - Kerala Style Ulli Theeyal Recipe,700
कुरुकु कालन रेसिपी - Kurukku Kaalan Recipe,700
Methi Moong Dal Recipe - Healthy Diabetic Friendly Recipe,"[<span id=""recipenumvotes"">2348 ratings.</span>]"
Spicy Chickpeas Aloo Salad Chaat Recipe,700
Satvik Carrot Sprouts Salad Recipe - No Onion No Garlic,700
Homemade Doodh Peda Recipe - Milk Peda,700
Andhra Style Vankaya Kothimeera Karam Recipe - Brinjal Cooked With Spicy Coriander Mix Recipe,700
आंध्रा स्टाइल वांकाया कोथिमीरा करम रेसिपी - Andhra Style Vankaya Kothimeera Karam Recipe,700
Thandai Flavoured Rice Kheer Recipe,700
Bhindi Masala Curry Recipe,"[<span id=""recipenumvotes"">2730 ratings.</span>]"
Sing Paak Recipe - Spiced Peanut Burfi,700
Gluten Free Rajgira Burfi Recipe,"[<span id=""recipenumvotes"">2654 ratings.</span>]"
Dry Fruit Burfi Recipe With Gulkand,700
Konkani Style Mande/Mandige/Chavde Recipe-Thin fried pancakes stuffed with sweet coconut Recipe,700
Tamil Nadu Style Arachuvitta Rasam Recipe,700
Lemon Rasam Recipe - Nimbe Saaru Recipe,700
North Karnataka Style Nuggekai Kharbyaali Recipe-Spiced Drumstick Sambar,700
Coriander Tadka Raita Recipe,700
Malvani Kurkuri Bhindi Recipe - Moongphali Bhindi Sabzi,700
Homemade Lemon Sevai Recipe - Lemon Idiyappam Recipe,700
Orange Rasam Recipe,"[<span id=""recipenumvotes"">3222 ratings.</span>]"
Maharashtrian Style Kala Chana Cooked In Koli Masala Recipe,700
Konkani Style Solkadhi Recipe - Kokum Drink,700
Ulava Charu Recipe - Spicy Andhra Horse Gram Rasam,700
Carrot Beans Thoran Recipe - Kerala Thoran For Onam Sadya,700
Sindhi Toor Dal Recipe With Aam Papad - Aam Papad Dal Recipe,700
Bharwa Besan Mirch Sabzi Recipe - Chillies Stuffed With Spiced Gram Flour,"[<span id=""recipenumvotes"">16331 ratings.</span>]"
खमंग ककड़ी रेसिपी - Khamang Kakdi Recipe,700
Vazhaithandu Lemon Rasam Recipe - Banana Stem Lemon Rasam,700
Lehsun Methi Raita Recipe,700
Maharashtrian Tindora Sabzi With Peanuts Recipe,700
Spicy Poppy Seeds Pulao Recipe - Gasa Gasala Saddi,700
Kathirikai Poondu Pirattal Recipe - South Indian Style Brinjal Stir Fry With Garlic,"[<span id=""recipenumvotes"">6448 ratings.</span>]"
Rose Flavoured Shahi Tukda Recipe,"[<span id=""recipenumvotes"">1262 ratings.</span>]"
Moru Kachiyathu Recipe - Kerala Style Seasoned Buttermilk,"[<span id=""recipenumvotes"">27126 ratings.</span>]"
Palak Pappu Recipe - Andhra Style Palakura Pappu - Dal Palak,700
Rajasthani Pyaaz Ki Kadhi Recipe - Onion Kadhi Recipe,700
Green Beans Poriyal Recipe With Peanuts & Sesame Recipe,700
Aluchi Bhaji Recipe - Maharashtrian Style Colocasia Leaves Curry,700
Soya Keema Matar Masala Recipe,700
Ellu Chutney Recipe - Sesame Seeds Chutney Recipe,700
एल्लु चटनी रेसिपी - Ellu Chutney Recipe,700
Gorikayi Palya Recipe - Karnataka Style Gawar Phali Sabzi,700
Paneer Pyaz Paratha Recipe,700
Khamang Kakdi Recipe - Maharashtrian Cucumber Salad,700
Malvani Anda Curry Recipe - Egg Curry With Spicy Malvani Masala,"[<span id=""recipenumvotes"">4583 ratings.</span>]"
