name,popularity
Kathiyawadi Stuffed Onion Recipe, 3107
Hyderabadi Bagare Tamatar (Spiced| Tossed Tomato Curry), 1407
Classic Andhra Style Chicken Curry Recipe, 27515
Chettinad Style Nattu Kozhi Varuval Recipe, 16726
Mutton Keema Recipe, 19517
Bendekaayi Gojju (Lady Finger In Coconut Curry) Recipe, 2559
Petha Wadi Sabzi Recipe, 834
Mixed Vegetable Akki Roti Recipe, 1944
Spiced Turnips with Spinach Recipe, 2866
Matar Aur Chilke Ka Sabzi (Peas & Peel Stir Fry Recipe), 1513
Vankaya Pakodi Koora Recipe - Andhra Style Brinjal Pakora Curry, 1729
Karnataka Style Sandige Huli Recipe (Toor dal dumplings in Gravy Recipe), 4159
Gujarati Trevti Dal Recipe (Creamy Lentils Cooked In Mild Spices), 6379
Methi Bajra Poori Recipe, 3124
Hyderabadi Khatti Dal Recipe (Hyderabadi Tangy Lentil Curry), 14743
Goan Raw Banana Sabzi Recipe, 10952
Thekera Tenga Recipe, 1964
Jhinga Gawar Recipe -Shrimps & Cluster Beans Sabzi, 1198
Chana Turai/Nenua Chana Sabzi Recipe (Ridge Gourd with Black Chana Recipe), 4492
Goat Curry In Yogurt Gravy Recipe, 2095
Spicy Crab Masala Recipe, 6704
Mangalorean Chana Gassi Recipe, 1500
Beetroot & Sesame Thepla Recipe, 3224
Murungai Keerai Thanni Saaru Recipe-Drumstick Leaves Soup, 2125
Aloo Masala Puri Recipe, 7455
Mushroom Thoran Recipe - Kerala Style Mushroom Sabzi, 6254
Poosanikai Rasavangi Recipe - Ash Gourd Curry With Dal, 2280
Dahi Bhindi Recipe - Okra in Yogurt Curry with Caramelized Onions, 6058
Kottambari Tambuli Recipe - Udupi Style Raw Coriander Kadhi, 1541
Doodh Jhinge Curry Recipe-Ridge Gourd Cooked In Milk, 1384
Shahjahani Khichdi Recipe - Spiced Green Moong Dal Khichdi, 3211
Assamese Narasingh Masor Jhol Recipe (Fish In Curry Leaves Gravy), 1870
Maharashtrian Tomato Saar Recipe, 25531
Goan Style Tonak Alsanyache Recipe (Black eyed beans cooked in Tonak Masala Recipe), 2765
Hyderabadi Laziz Lamb Handi Recipe, 2314
Marghi Na Farcha Recipe - Parsi Crispy Fried Chicken, 2369
Carrot Methi Pachadi Recipe, 1641
No Onion And No Garlic Aloo Gajar Matar Ki Sabzi Recipe, 1985
Karnataka Special Huli Tovve Recipe, 4269
Hariyali Chicken Tikka Recipe, 48983
Padipe Saasmi Recipe - Udupi Style Amaranth Leaves Curry With Coconut & Tamarind, 2344
Mixed Vegetable Koora Recipe - Mixed Vegetable Poriyal, 2718
Hunase Gojju Recipe, 5211
Nawabi Mixed Vegetable Gravy Recipe, 5664
Rase Wale Aloo Recipe (Boiled Potato in Tangy Tomato Sauce), 2243
Paneer Biryani Recipe, 18211
Chettinad Pattani Kurma Recipe - Chettinad Peas Curry, 10446
Bengali Aloo Jhinge Posto Curry Recipe (Potato and Ridge Gourd Curry), 4397
Moringa Masoor Dal Recipe - Drumstick Leaves Dal, 8396
Chettinad Vegetable Biryani Recipe, 16975
Andhra Style Kandi Pachadi Recipe (Masoor Dal Chutney Recipe), 4388
Goan Style Khatkhatem Recipe (Mixed Vegetable Gravy), 1169
Ukad Recipe - Maharashtrian Rice Flour Porridge, 5865
Pakistani Bhuna Gosht Recipe, 35009
Pumpkin Sabzi Recipe with Panch Phoron Masala, 1652
Chettinad Beans & Cauliflower Poriyal Recipe (South Indian Stir Fry), 6405
Besan Burji Recipe-Chickpea Flour Scramble Recipe, 2643
Whole Wheat Soya Keema Kulchas, 963
Broccoli Paneer And Peanut Masala Recipe, 3161
Kela Matar ki Sabzi Recipe - Raw Banana Green Peas Stir Fry, 2323
Kerala Cherupayar Curry Recipe (Green Moong and Yellow Moong Dal Recipe), 37534
Savory Shrimps On Skillet Recipe, 554
Matar Butter Masala Recipe, 1509
Rajma Kofta In Milk And Poppy Seed Gravy Recipe, 690
Karnataka Style Avarekalu Chitranna Recipe (Field Beans Tossed With Lemon Rice), 1298
Kurkuri Bhindi And Onion Masala Recipe, 1481
Amlechi Uddamethi Recipe - Goan Raw Mango Curry, 5539
Karnataka Style Huggi (Rice and Moong dal Savory Porridge), 4774
Drumstick Leaves Ragi Roti Recipe - Moringa Millet Flat Bread, 4373
Mooga Gathi (Sprouted Moong In Coconut Paste) Recipe, 7146
Mysore Style Avarekalu Rasam Recipe, 5829
Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry, 13147
Niramish Shobji Chapor Jhol - Bengali Style Vegetable Curry with Lentil Patties, 2322
Chapor Ghonto Recipe - Bengali Mix Vegetable With Lentils Patties, 2957
Punjabi Bhindi Kadhi Recipe - Roasted Okra In Yogurt Curry, 8403
Babru Recipe (Himachali Black Gram Stuffed Bread), 3685
Arabian Chicken Mandi Recipe -Yemeni Style Rice & Chicken, 100010
Mangalore Cucumber Chana Dal Subzi Recipe, 1430
Rajasthani Laal Maas Recipe-Mutton In Red Spicy Gravy, 31482
Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry, 6782
Bathua Raita Recipe, 2974
Vegan Kofta Curry Recipe, 1991
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread, 9935
Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi, 2932
Cauliflower And Red Bell Pepper Stir Fry Recipe, 1542
Manathakkali Thayir Pachadi Recipe, 815
