name,popularity
Beans And Carrot Masala Pulav With Black Eyed Beans Recipe,700
Mooga Gathi (Sprouted Moong In Coconut Paste) Recipe,"[<span id=""recipenumvotes"">7146 ratings.</span>]"
Mysore Style Avarekalu Rasam Recipe,"[<span id=""recipenumvotes"">5829 ratings.</span>]"
Spicy Pressure Cooker Mutton Curry Recipe,700
Kerala Style Vendakka Pachadi Recipe - Roasted Bhindi Coconut Raita,700
Nargisi Kofta Curry Recipe - Spicy Scotched Egg Curry,"[<span id=""recipenumvotes"">13147 ratings.</span>]"
Dhaba Style Dal Fry Recipe | Mixed Dal Tadka,700
Niramish Shobji Chapor Jhol - Bengali Style Vegetable Curry with Lentil Patties,"[<span id=""recipenumvotes"">2322 ratings.</span>]"
Chapor Ghonto Recipe - Bengali Mix Vegetable With Lentils Patties,"[<span id=""recipenumvotes"">2957 ratings.</span>]"
Aloo Parwal Sabzi Recipe - A Classic Bengali Dish,700
Homemade Kashmiri Garam Masala Recipe,700
Peerkangai Thogayal Recipe | Ridge Gourd Peel Chutney | Beerakaya Pachadi,700
Chamadumpa Vepudu Recipe - Andhra Style Colocasia Stir Fry | Arbi Sabzi,700
Bendakaya Pulusu Recipe - Andhra Style Tangy Ladies Finger Curry,700
Hesarukalu Bele Kosambari Recipe | Tangy Sprouted Green Moong Dal Salad,700
Moongphali Bhindi Sabzi Recipe - Lady's Finger Peanut Stir Fry,700
Tamil Nadu Style Potato Masiyal Recipe (South Indian Style Aloo Masala),700
Chenai Kizhangu Masiyal-South Indian Style Yam Masiyal,700
Punjabi Bhindi Kadhi Recipe - Roasted Okra In Yogurt Curry,"[<span id=""recipenumvotes"">8403 ratings.</span>]"
Urulai Kizhangu Masiyal Recipe (Potatoes in a Tangy lemon and Ginger Gravy),700
Babru Recipe (Himachali Black Gram Stuffed Bread),"[<span id=""recipenumvotes"">3685 ratings.</span>]"
Arabian Chicken Mandi Recipe -Yemeni Style Rice & Chicken,"[<span id=""recipenumvotes"">100010 ratings.</span>]"
Mangalore Cucumber Chana Dal Subzi Recipe,"[<span id=""recipenumvotes"">1430 ratings.</span>]"
Rajasthani Laal Maas Recipe-Mutton In Red Spicy Gravy,"[<span id=""recipenumvotes"">31482 ratings.</span>]"
Badam Elaichi Kulfi Recipe,700
Sorakkai Paruppu Kuzhambu Recipe - Tamil Nadu Style Lauki Curry,"[<span id=""recipenumvotes"">6782 ratings.</span>]"
Soya Methi Sabzi Recipe | Made from Soya Chunks,700
Kerala Style Varutharacha Mutta Curry Recipe,700
Bathua Raita Recipe,"[<span id=""recipenumvotes"">2974 ratings.</span>]"
Vegan Kofta Curry Recipe,"[<span id=""recipenumvotes"">1991 ratings.</span>]"
Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,"[<span id=""recipenumvotes"">9935 ratings.</span>]"
Mangalorean Manoli Bheeja Upkari Recipe - Ivy Gourd & Cashew Sabzi,"[<span id=""recipenumvotes"">2932 ratings.</span>]"
Bendekayi Puli Koddel Recipe - Lady Finger In Coconut Tamarind Curry,700
Cauliflower And Red Bell Pepper Stir Fry Recipe,"[<span id=""recipenumvotes"">1542 ratings.</span>]"
Manathakkali Thayir Pachadi Recipe,"[<span id=""recipenumvotes"">815 ratings.</span>]"
Aloo Konir Dom Recipe (Assamese Egg & Potato Curry),"[<span id=""recipenumvotes"">4033 ratings.</span>]"
Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine),"[<span id=""recipenumvotes"">4285 ratings.</span>]"
Tamil Nadu Style Poo Kosu Poriyal - Pepper Garlic Cauliflower Poriyal Recipe,700
Oriya Style Ambila Recipe - Sweet & Spicy Mixed Vegetable Sabzi,700
Mini Bajra Uttapam Recipe,"[<span id=""recipenumvotes"">3703 ratings.</span>]"
Kadalai Puli Kuzhambu With Mangalore Cucumber & Drumstick Recipe,700
Andhra Style Pindi Miriyam Recipe,"[<span id=""recipenumvotes"">2827 ratings.</span>]"
Broccoli Egg Bhurji Recipe,"[<span id=""recipenumvotes"">7264 ratings.</span>]"
Paneer Butter Masala Recipe,"[<span id=""recipenumvotes"">9630 ratings.</span>]"
Chilli Cheese Paratha Recipe,700
Chickpea Coconut Milk Curry Recipe,"[<span id=""recipenumvotes"">11212 ratings.</span>]"
Karnataka Style Avarekalu Akki Rotti Recipe,700
Rajasthani Sweet & Spicy Ker Sangri Sabzi Recipe,"[<span id=""recipenumvotes"">9584 ratings.</span>]"
Karnataka Style Sorakaya Palya Recipe - Karnataka Style Bottle Gourd Sabzi,700
Palak Paneer Recipe | Cottage Cheese In Spinach Gravy,700
Puran Poli Recipe | Gujarati & Maharastrian | Sweet Spiced Stuffed Paratha With Jaggery,700
Bengali Cholar Dal Recipe,700
Valor Muthia Nu Shaak Recipe - Flat Beans Stir Fry With Dumplings,700
Pineapple Gojju Recipe (Karnataka Style Tangy And Spicy Pineapple Curry),"[<span id=""recipenumvotes"">13313 ratings.</span>]"
Karnataka Style Orange Peels Curry Recipe,"[<span id=""recipenumvotes"">2721 ratings.</span>]"
Kashmiri Style Nadru Yakhni Recipe-Lotus Stem in Yogurt Sauce,700
Spicy Egg Biryani Recipe with Figaro Olive Oil,700
Hara Chana Masala Recipe,"[<span id=""recipenumvotes"">12847 ratings.</span>]"
Menthi Aaku Badeela Koora Recipe - Besan Muthia Cooked With Methi Leaves,700
Gavar Pumpkin Sabji Recipe,"[<span id=""recipenumvotes"">1711 ratings.</span>]"
Marwadi Gatte Ki Kadhi Recipe - Gram Flour Dumpling In Yogurt Curry,700
Kerala Style Taroo Root Curry Recipe (Colacasia),"[<span id=""recipenumvotes"">5495 ratings.</span>]"
Bhindi With Cashews & Coconut Sabzi Recipe,"[<span id=""recipenumvotes"">1587 ratings.</span>]"
Karnataka Style Badanekayi Palya Recipe - Long Brinjal In Spicy Coconut Recipe,700
Mustard Vegetable Curry Recipe,700
Tomato Rice With Basil Recipe,"[<span id=""recipenumvotes"">1797 ratings.</span>]"
