name,popularity
Golpapdi Recipe | Gur Papdi | Sukhdi recipe | Gujarati Gol Papdi,700
Ari Pathiri Recipe | Malabar Rice Flatbread Recipe,"[<span id=""recipenumvotes"">1361 ratings.</span>]"
Meat Masala Stuffed Bharwa Baingan Recipe,"[<span id=""recipenumvotes"">748 ratings.</span>]"
Badami Paneer Masala Recipe -Paneer In Almond Gravy,"[<span id=""recipenumvotes"">3461 ratings.</span>]"
Sauteed Spicy Prawns Recipe,"[<span id=""recipenumvotes"">884 ratings.</span>]"
Methi Jowar Ragi Thalipeeth Recipe - Healthy Diabetic Friendly Recipe,700
Reshmi Kofta Recipe in Rich Cashew Gravy,"[<span id=""recipenumvotes"">1157 ratings.</span>]"
चीज़ी आलू पराठा - Cheesy Aloo Paratha (Recipe In Hindi),700
Bengali Dhokar Dalna Recipe,"[<span id=""recipenumvotes"">11137 ratings.</span>]"
Soya Chunks And Beetroot Biryani Recipe,"[<span id=""recipenumvotes"">1392 ratings.</span>]"
Sakkaravalli Kizhangu Poriyal Recipe - Spicy Sweet Potato Roast,"[<span id=""recipenumvotes"">2945 ratings.</span>]"
Urulai Kizhangu Roast Recipe - Spicy Potato Roast Recipe,"[<span id=""recipenumvotes"">8077 ratings.</span>]"
Southekayi Palya Recipe - Mangalore Cucumber Palya/ Sabzi Recipe,700
Bihari Karela Aloo Sabzi Recipe,700
Besan Cheela Recipe Stuffed With Chatapa Paneer,"[<span id=""recipenumvotes"">5325 ratings.</span>]"
Udupi Tomato Rasam Recipe,"[<span id=""recipenumvotes"">3830 ratings.</span>]"
Sweet Potato Sabzi Recipe,700
Egg Butter Masala Recipe,"[<span id=""recipenumvotes"">2858 ratings.</span>]"
Buckwheat Vegetable Khichdi Recipe,"[<span id=""recipenumvotes"">2934 ratings.</span>]"
Raw Jackfruit Kofta Curry Recipe - Kathal Kofta Curry Recipe,"[<span id=""recipenumvotes"">3567 ratings.</span>]"
Kadai Mushroom Recipe,"[<span id=""recipenumvotes"">4415 ratings.</span>]"
